Date,Open,High,Low,Close,Volume
2019-01-02 00:00:00-05:00,128.99,137.51,128.56,135.41,25465924
2019-01-03 00:00:00-05:00,134.69,137.17,131.12,131.8902,18011900
2019-01-04 00:00:00-05:00,134.01,138,133.75,137.94,23927539
2019-01-07 00:00:00-05:00,137.45,138.87,135.91,138.23,16261533
2019-01-08 00:00:00-05:00,139.89,143.14,139.54,142.5843,22239823
2019-01-09 00:00:00-05:00,142.95,144.7,141.27,144.25,18404347
2019-01-10 00:00:00-05:00,143.08,144.56,140.84,144.15,13885316
2019-01-11 00:00:00-05:00,143.15,145.36,142.57,143.7205,10819759
2019-01-14 00:00:00-05:00,142.08,146.57,141.27,145.63,17231093
2019-01-15 00:00:00-05:00,146.01,150.68,145.99,148.82,21340466
2019-01-16 00:00:00-05:00,149,149.6499,146.9975,147.43,15596801
2019-01-17 00:00:00-05:00,146.95,149,146.5,148.0684,13965026
2019-01-18 00:00:00-05:00,149.75,152.43,148.55,149.99,28961698
2019-01-22 00:00:00-05:00,149.2,151.53,146.37,147.245,18121895
2019-01-23 00:00:00-05:00,148.28,148.8,143.055,144.07,18612594
2019-01-24 00:00:00-05:00,144.64,146.44,142.52,145.74,19111339
2019-01-25 00:00:00-05:00,147.48,149.83,146.54,149.0944,17851615
2019-01-28 00:00:00-05:00,148.05,148.96,146.21,147.37,12571121
2019-01-29 00:00:00-05:00,148.09,148.1,143.43,144.115,16035997
2019-01-30 00:00:00-05:00,146.22,150.95,145.6953,150.3,27203498
2019-01-31 00:00:00-05:00,165.53,171.68,165,166.8,70441723
2019-02-01 00:00:00-05:00,165.84,169.1,165.66,165.83,27891288
2019-02-04 00:00:00-05:00,165.7,169.28,163.62,168.935,17419943
2019-02-05 00:00:00-05:00,169.15,171.98,168.69,170.9434,17737618
2019-02-06 00:00:00-05:00,171.2,172.47,169.27,170.48,11931265
2019-02-07 00:00:00-05:00,168.27,169.24,165.25,165.97,15099844
2019-02-08 00:00:00-05:00,164.47,167.25,164.21,167.2,10893793
2019-02-11 00:00:00-05:00,168,168.3,165.08,165.59,9543009
2019-02-12 00:00:00-05:00,166.86,168.34,164.5,164.94,14374841
2019-02-13 00:00:00-05:00,165.38,166.22,163.73,164.08,12848891
2019-02-14 00:00:00-05:00,163.19,164.8697,162.2468,163.97,10479806
2019-02-15 00:00:00-05:00,164.51,164.7,160.86,162.4101,14725469
2019-02-19 00:00:00-05:00,160.5,164.15,160.33,162.1166,12160154
2019-02-20 00:00:00-05:00,162.25,163.72,161.25,162.62,10525664
2019-02-21 00:00:00-05:00,162.01,162.24,159.59,160.09,13276948
2019-02-22 00:00:00-05:00,160.58,162.41,160.31,161.84,11588766
2019-02-25 00:00:00-05:00,163.07,166.07,162.9,164.63,15768987
2019-02-26 00:00:00-05:00,164.335,166.24,163.8,164.05,12423077
2019-02-27 00:00:00-05:00,162.9,163.8025,160.41,162.81,10796534
2019-02-28 00:00:00-05:00,162.37,163.5,160.86,161.5,9056941
2019-03-01 00:00:00-05:00,162.6,163.132,161.69,162.28,9311399
2019-03-04 00:00:00-05:00,163.9,167.5,163.83,167.47,17156727
2019-03-05 00:00:00-05:00,167.31,171.88,166.55,171.25,24266138
2019-03-06 00:00:00-05:00,172.9,173.57,171.27,172.51,18843395
2019-03-07 00:00:00-05:00,171.5,171.74,167.61,169.14,15649857
2019-03-08 00:00:00-05:00,166.2,169.62,165.97,169.6,11357699
2019-03-11 00:00:00-04:00,171.6,174.3,171.58,171.98,15351838
2019-03-12 00:00:00-04:00,172.09,173.8,171.2178,171.94,10609535
2019-03-13 00:00:00-04:00,172.63,174.03,172.12,173.37,9607015
2019-03-14 00:00:00-04:00,169.76,171.15,168.16,170.26,14802757
2019-03-15 00:00:00-04:00,164.48,166.71,164.27,166.01,17501846
2019-03-18 00:00:00-04:00,163.57,163.9,159.28,160.47,32864620
2019-03-19 00:00:00-04:00,161.48,163.82,160.82,161.63,21550291
2019-03-20 00:00:00-04:00,161.27,166.12,161.24,165.47,17364616
2019-03-21 00:00:00-04:00,164.89,166.39,163.75,166.08,13707604
2019-03-22 00:00:00-04:00,165.65,167.42,164.09,164.34,14302290
2019-03-25 00:00:00-04:00,163.14,166.54,162,166.27,11009299
2019-03-26 00:00:00-04:00,167.35,169.45,166.3499,167.68,13876298
2019-03-27 00:00:00-04:00,167.73,168.94,164.79,165.84,9279826
2019-03-28 00:00:00-04:00,164.57,166.72,163.33,165.51,9376259
2019-03-29 00:00:00-04:00,166.39,167.19,164.81,166.66,8777694
2019-04-01 00:00:00-04:00,167.83,168.9,167.2789,168.69,5794324
2019-04-02 00:00:00-04:00,170.14,174.9,169.55,174.23,21471600
2019-04-03 00:00:00-04:00,174.5,177.96,172.95,173.51,25558252
2019-04-04 00:00:00-04:00,176.02,178,175.5301,176.01,16318218
2019-04-05 00:00:00-04:00,176.94,177,175.1,175.7,8490747
2019-04-08 00:00:00-04:00,175.21,175.5,174.23,174.91,6560427
2019-04-09 00:00:00-04:00,175.62,179.19,175.55,177.66,16740865
2019-04-10 00:00:00-04:00,178.18,178.79,176.54,177.83,9819134
2019-04-11 00:00:00-04:00,178.24,178.4,177,177.5,7085392
2019-04-12 00:00:00-04:00,178,179.63,177.95,179.08,10343203
2019-04-15 00:00:00-04:00,178.5,180.5,176.87,179.66,9367040
2019-04-16 00:00:00-04:00,179.17,180.17,178.3,178.85,10138634
2019-04-17 00:00:00-04:00,179.6,180.74,178.36,178.78,7589562
2019-04-18 00:00:00-04:00,178.8,178.88,177.34,178.32,9740923
