Age,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk
22,2,own,little,moderate,5951,48,radio/TV,bad
45,2,free,little,little,7882,42,furniture/equipment,good
53,2,free,little,little,4870,24,car,bad
35,3,rent,little,moderate,6948,36,car,good
28,3,own,little,moderate,5234,30,car,bad
25,2,rent,little,moderate,1295,12,car,bad
24,2,rent,little,little,4308,48,business,bad
22,2,own,little,moderate,1567,12,radio/TV,good
60,1,own,little,little,1199,24,car,bad
28,2,rent,little,little,1403,15,car,good
32,1,own,moderate,little,1282,24,radio/TV,bad
44,3,free,little,moderate,12579,24,car,bad
44,2,rent,quite rich,little,2647,6,radio/TV,good
48,1,rent,little,little,2241,10,car,good
44,2,own,moderate,moderate,1804,12,car,good
36,1,own,little,little,1374,6,furniture/equipment,good
42,2,rent,rich,rich,409,12,radio/TV,good
34,2,own,little,moderate,2415,7,radio/TV,good
63,2,own,little,little,6836,60,business,bad
36,2,own,rich,moderate,1913,18,business,good
27,2,own,little,little,4020,24,furniture/equipment,good
30,2,own,moderate,moderate,5866,18,car,good
33,3,own,little,rich,1474,12,furniture/equipment,good
25,1,own,little,moderate,4746,45,radio/TV,bad
37,2,own,little,rich,2100,18,radio/TV,bad
37,2,own,little,rich,1225,10,domestic appliances,good
24,2,own,little,moderate,458,9,radio/TV,good
26,2,own,quite rich,moderate,1158,12,radio/TV,good
44,1,own,little,moderate,6204,18,repairs,good
24,2,rent,moderate,little,6187,30,car,good
58,1,free,little,little,6143,48,car,bad
23,0,rent,quite rich,little,1352,6,car,good
30,3,own,little,moderate,5965,27,car,good
57,2,free,little,moderate,2225,36,car,bad
23,3,own,little,rich,1961,18,car,good
23,1,rent,little,little,6229,36,furniture/equipment,bad
27,2,own,little,moderate,1391,9,business,good
61,3,free,little,moderate,1953,36,business,bad
25,2,own,little,moderate,14421,48,business,bad
22,2,own,rich,moderate,1007,12,car,good
51,3,free,little,little,1164,8,vacation/others,good
41,1,own,little,moderate,5954,42,business,good
66,3,free,little,little,1526,12,car,good
34,2,own,little,little,3965,42,radio/TV,bad
51,2,own,little,moderate,4771,11,radio/TV,good
22,2,own,little,moderate,3832,30,furniture/equipment,good
58,1,own,little,little,1755,24,vacation/others,good
52,1,own,little,little,2315,10,radio/TV,good
27,2,own,little,moderate,1295,18,furniture/equipment,good
47,2,free,moderate,moderate,12612,36,education,bad
